iter	Passed	Remaining
473	1116	567
474	1117	564
475	1119	562
476	1122	559
477	1124	557
478	1126	555
479	1128	552
480	1130	550
481	1132	547
482	1134	544
483	1136	542
484	1139	540
485	1141	537
486	1143	535
487	1145	532
488	1147	530
489	1149	528
490	1152	525
491	1154	523
492	1157	521
493	1159	518
494	1161	516
495	1163	513
496	1165	511
497	1167	508
498	1170	506
499	1172	504
500	1174	501
501	1177	499
502	1179	497
503	1181	494
504	1183	492
505	1185	489
506	1187	487
507	1190	484
508	1192	482
509	1194	480
510	1197	478
511	1199	475
512	1202	473
513	1203	470
514	1205	468
515	1208	466
516	1212	464
517	1214	461
518	1216	459
519	1219	457
520	1222	455
521	1225	452
522	1227	450
523	1228	447
524	1231	445
525	1233	443
526	1235	440
527	1237	438
528	1240	436
529	1242	433
530	1244	431
531	1246	428
532	1249	426
533	1251	424
534	1253	421
535	1255	419
536	1258	417
537	1260	414
538	1263	412
539	1266	410
540	1268	408
541	1272	406
542	1274	403
543	1276	401
544	1278	398
545	1280	396
546	1282	393
547	1284	391
548	1286	388
549	1289	386
550	1291	384
551	1292	381
552	1295	379
553	1299	377
554	1301	375
555	1303	372
556	1305	370
557	1308	368
558	1309	365
559	1312	363
560	1315	360
561	1317	358
562	1319	356
563	1321	353
564	1323	351
565	1325	349
566	1328	346
567	1330	344
568	1332	341
569	1334	339
570	1337	337
571	1339	334
572	1342	332
573	1344	330
574	1346	327
575	1348	325
576	1352	323
577	1354	321
578	1357	318
579	1359	316
580	1361	314
581	1363	311
582	1366	309
583	1368	307
584	1370	304
585	1372	302
586	1374	299
587	1376	297
588	1379	295
589	1381	292
590	1383	290
591	1385	287
592	1387	285
593	1391	283
594	1393	280
595	1395	278
596	1397	276
597	1399	273
598	1401	271
599	1404	269
600	1407	266
601	1409	264
602	1412	262
603	1415	260
604	1417	257
605	1419	255
606	1421	252
607	1424	250
608	1426	248
609	1428	245
610	1430	243
611	1433	241
612	1435	238
613	1438	236
614	1440	234
615	1442	231
616	1444	229
617	1447	227
618	1449	224
619	1451	222
620	1453	219
621	1455	217
622	1457	215
623	1459	212
624	1461	210
625	1463	208
626	1466	205
627	1468	203
628	1471	201
629	1473	198
630	1475	196
631	1478	194
632	1480	191
633	1482	189
634	1485	187
635	1487	184
636	1488	182
637	1491	180
638	1493	177
639	1496	175
640	1498	173
641	1500	170
642	1502	168
643	1504	165
644	1506	163
645	1510	161
646	1511	158
647	1514	156
648	1516	154
649	1519	151
650	1521	149
651	1524	147
652	1526	144
653	1528	142
654	1530	140
655	1533	137
656	1536	135
657	1539	133
658	1541	131
659	1544	128
660	1547	126
661	1549	124
662	1551	121
663	1554	119
664	1557	117
665	1559	114
666	1561	112
667	1563	110
668	1566	107
669	1569	105
670	1571	103
671	1573	100
672	1575	98
673	1577	95
674	1580	93
675	1582	91
676	1585	88
677	1588	86
678	1590	84
679	1592	81
680	1595	79
681	1598	77
682	1600	74
683	1602	72
684	1605	70
685	1607	67
686	1610	65
687	1614	63
688	1617	61
689	1620	58
690	1622	56
691	1625	54
692	1629	51
693	1631	49
694	1633	47
695	1636	44
696	1638	42
697	1640	39
698	1642	37
699	1644	35
700	1646	32
701	1649	30
702	1652	28
703	1654	25
704	1657	23
705	1659	21
706	1662	18
707	1664	16
708	1667	14
709	1668	11
710	1670	9
711	1672	7
712	1675	4
713	1677	2
714	1679	0
