iter	Logloss
0	0.6904015665
1	0.6684076501
2	0.649480332
3	0.6423801835
4	0.640685288
5	0.6391495836
6	0.6209761842
7	0.6197749114
8	0.6148243383
9	0.5906064603
10	0.5811726858
11	0.5631050101
12	0.5624043833
13	0.5523403726
14	0.5433666196
15	0.531000912
16	0.5282325122
17	0.5278647705
18	0.5183923587
19	0.5173317811
20	0.5055484756
21	0.5053572361
22	0.4958223639
23	0.4956467346
24	0.4875606656
25	0.4825574455
26	0.4701795873
27	0.4557487582
28	0.4556962326
29	0.4556490053
30	0.4550107278
31	0.4549727804
32	0.4549386593
33	0.4542432558
34	0.4542159192
35	0.450191284
36	0.4482117594
37	0.4437968408
38	0.43104007
39	0.4281208374
40	0.428079625
41	0.4280425694
42	0.4280092509
43	0.4248759278
44	0.4228842529
45	0.4228598674
46	0.4213404093
47	0.4200313436
48	0.4200144004
49	0.4176718336
50	0.4171802909
51	0.4170844863
52	0.4131419902
53	0.4131319017
54	0.4072579812
55	0.4069138625
56	0.4029812643
57	0.4013213032
58	0.4013154777
59	0.3994154521
60	0.3994121874
61	0.3994092513
62	0.3973545315
63	0.3973530682
64	0.3966215088
65	0.3888401786
66	0.3888394172
67	0.3887626825
68	0.3863500839
69	0.3863496013
70	0.3860628216
71	0.3857121828
72	0.3856792496
73	0.3848120339
74	0.3840132381
75	0.3832013579
76	0.3830886809
77	0.3830511689
78	0.3830511143
79	0.3830510919
80	0.382729682
81	0.3827296617
82	0.3817647503
83	0.3817647467
84	0.3817647458
85	0.381764745
86	0.381585793
87	0.3785413998
88	0.3784375748
89	0.3784166665
90	0.3784166372
91	0.3784166365
92	0.3769246927
93	0.376924656
94	0.3713007319
95	0.3710451065
96	0.3688443548
97	0.3686265315
98	0.3686264033
99	0.3681524973
100	0.368152263
101	0.3659987734
102	0.3655009084
103	0.3655009043
104	0.3640772823
105	0.3639872914
106	0.3639872894
107	0.3639872477
108	0.3636053899
109	0.3636053805
110	0.3632195416
111	0.3632195331
112	0.3632195019
113	0.3623296774
114	0.3623154547
115	0.3622417702
116	0.3622417486
117	0.3621837963
118	0.3621837887
119	0.36207289
120	0.3620728891
121	0.3587874208
122	0.3582645552
123	0.3582645212
124	0.3562493498
125	0.3534354683
126	0.3530661719
127	0.3530320014
128	0.3527853523
129	0.3527853475
130	0.3527432591
131	0.3526510263
132	0.3519370877
133	0.3519369892
134	0.3518237422
135	0.3518237409
136	0.3516537421
137	0.3516181375
138	0.3516181352
139	0.3511953647
140	0.3511953266
141	0.3511953184
142	0.3511953132
143	0.3499001036
144	0.3458696259
145	0.3457109952
146	0.3457109947
147	0.3457109931
148	0.3434051007
149	0.3432836668
150	0.3426578915
151	0.3410329268
152	0.3410317978
153	0.3410307824
154	0.3410298692
155	0.3407033094
156	0.340702513
157	0.3407017966
158	0.3407011524
159	0.3407005729
160	0.3407000518
161	0.3405788765
162	0.3405784536
163	0.3382274004
164	0.338126208
165	0.3378765834
166	0.337749966
167	0.3377490604
168	0.3377482459
169	0.3377291883
170	0.3362065971
171	0.3351221837
172	0.3349494133
173	0.3349488525
174	0.3346478908
175	0.3341283123
176	0.3331135981
177	0.3331135443
178	0.3331135236
179	0.3302746549
180	0.3302517772
181	0.3302349936
182	0.3302345355
183	0.3300844587
184	0.3297948235
185	0.3297945124
186	0.3297944277
187	0.3290038913
188	0.3284298648
189	0.3280272955
190	0.3280272487
191	0.3277956936
192	0.32752472
193	0.3275246709
194	0.3252250467
195	0.3251314021
196	0.3245649495
197	0.3245325358
198	0.3240123461
199	0.3240122501
200	0.3238909409
201	0.3238907958
202	0.3238907531
203	0.3226762996
204	0.3226760719
205	0.3213494639
206	0.3213489248
207	0.3213484399
208	0.3213196123
209	0.3212730165
210	0.3212519887
211	0.3212517762
212	0.3206609066
213	0.3202972129
214	0.3202971687
215	0.3200605692
216	0.3200159959
217	0.3200159532
218	0.3200158514
219	0.3198531928
220	0.3193601696
221	0.3182581676
222	0.317738859
223	0.3172487861
224	0.317041255
225	0.3170272662
226	0.3158633777
227	0.3158625877
228	0.3157336543
229	0.3157010216
230	0.3157009487
231	0.3156900605
232	0.3154564012
233	0.3154559243
234	0.3154372075
235	0.3154368222
236	0.3154365875
237	0.3154263915
238	0.3154263869
239	0.3154260967
240	0.314887902
241	0.3148347449
242	0.314507043
243	0.3145070315
244	0.3143785067
245	0.3143059743
246	0.3142417656
247	0.3142028176
248	0.3142028051
249	0.3141078448
250	0.3141078098
251	0.3137937906
252	0.3137937891
253	0.3137688884
254	0.3127741159
255	0.3127660226
256	0.311027868
257	0.3107836184
258	0.3107835307
259	0.3107219511
260	0.3107219505
261	0.3107219138
262	0.309413346
263	0.3094133308
264	0.3094026385
265	0.3093795914
266	0.3093795739
267	0.3093795679
268	0.3093610989
269	0.3088624465
270	0.3088624169
271	0.3086920759
272	0.3084962331
273	0.3084962178
274	0.3084962171
275	0.3073014065
276	0.3072566318
277	0.3069502254
278	0.3068843105
279	0.3067151138
280	0.3067151003
281	0.3061735857
282	0.3061735704
283	0.3061677626
284	0.3061480786
285	0.3061480707
286	0.3061480675
287	0.3061132831
288	0.3060958504
289	0.3060948208
290	0.3060948116
291	0.3060948105
292	0.306093967
293	0.3060939617
294	0.3057263945
295	0.3057263896
296	0.3056696968
297	0.3056696929
298	0.3055928162
299	0.3055928113
300	0.3055928073
301	0.3055827799
302	0.3055827794
303	0.3055827792
304	0.3051288944
305	0.3051096529
306	0.305094934
307	0.3050423296
308	0.3050238037
309	0.305023803
310	0.3050228715
311	0.3035812219
312	0.3033582096
313	0.3033581796
314	0.3033581735
315	0.3033581704
