iter	Logloss
316	0.3032324767
317	0.3032324619
318	0.3032324546
319	0.3032197296
320	0.30321967
321	0.3030693035
322	0.3015606625
323	0.3015600476
324	0.3015594945
325	0.301558997
326	0.3015139308
327	0.3015136951
328	0.3013642118
329	0.301363873
330	0.3013637162
331	0.3013634273
332	0.3013634106
333	0.3008811987
334	0.30088106
335	0.3008809285
336	0.3008808552
337	0.3008582446
338	0.3005853489
339	0.3003027898
340	0.3003027514
341	0.3002588413
342	0.3002194439
343	0.2998815869
344	0.2987938078
345	0.2987799047
346	0.2987798962
347	0.2986758761
348	0.2985162066
349	0.2985162038
350	0.2984986194
351	0.2984779987
352	0.2984710262
353	0.298432863
354	0.2984137312
355	0.2983006188
356	0.298248824
357	0.2974561338
358	0.2974561242
359	0.2974561223
360	0.2974561138
361	0.2974561006
362	0.2974311846
363	0.2974266917
364	0.2974266914
365	0.2974266676
366	0.2964970352
367	0.2964969648
368	0.2964969108
369	0.2964969093
370	0.2963576287
371	0.2963576287
372	0.2963556796
373	0.2963556062
374	0.2963401098
375	0.2963321918
376	0.2963321883
377	0.2963321744
378	0.2963321488
379	0.2963159143
380	0.2962847706
381	0.2962769315
382	0.2961993031
383	0.2961992948
384	0.2961992777
385	0.296192291
386	0.2949027745
387	0.2949027682
388	0.2949027298
389	0.294902714
390	0.294568139
391	0.2945681282
392	0.2945681227
393	0.2945680934
394	0.2945680861
395	0.2945680789
396	0.2945680726
397	0.294568071
398	0.2933539236
399	0.2933536275
400	0.2933164731
401	0.2932826903
402	0.29328269
403	0.2932826897
404	0.2928426467
405	0.292753231
406	0.2927532147
407	0.2925416141
408	0.2925416032
409	0.2924937947
410	0.2924937923
411	0.2924937786
412	0.2922746532
413	0.2922746471
414	0.2922162508
415	0.2921105704
416	0.2921105699
417	0.2921105654
418	0.2921105631
419	0.2921105609
420	0.2920589324
421	0.2920589303
422	0.292058922
423	0.2920589042
424	0.2920462308
425	0.2920462193
426	0.2918878211
427	0.2918878034
428	0.2918878017
429	0.2918878015
430	0.291845113
431	0.29184511
432	0.2918190139
433	0.2918190125
434	0.2917475734
435	0.2917475722
436	0.2916929657
437	0.2916929571
438	0.2916346959
439	0.291618396
440	0.2916110327
441	0.2916110327
442	0.2915345325
443	0.2915345283
444	0.2915345271
445	0.2914001593
446	0.2913765361
447	0.291376517
448	0.2913765119
449	0.2913765087
450	0.2913765053
451	0.2913765028
452	0.2913764998
453	0.2912266141
454	0.2912266129
455	0.2911438762
456	0.2911438721
457	0.2911388407
458	0.2911201464
459	0.2907725706
460	0.2907725698
461	0.2907477052
462	0.2903804645
463	0.2903804583
464	0.2903804451
465	0.2903804398
466	0.2899708317
467	0.2894113624
468	0.2893174814
469	0.2892894041
470	0.2892624851
471	0.2887448882
472	0.2886177889
473	0.2883368466
474	0.2883368466
475	0.2883368465
476	0.2883143069
477	0.2883141028
478	0.2883141028
479	0.2883141028
480	0.2882780064
481	0.2882780064
482	0.2882780063
483	0.2882780063
484	0.2882780063
485	0.2882780063
486	0.2880620017
487	0.2880620011
488	0.2880620008
489	0.2880509317
490	0.2879921522
491	0.287992152
492	0.2877992725
493	0.2877992724
494	0.2877992723
495	0.2877992722
496	0.2877992721
497	0.287799272
498	0.287799272
499	0.2877923802
500	0.2877429616
501	0.2877429616
502	0.2877429554
503	0.2877429554
504	0.2877429554
505	0.2877429554
506	0.2877429554
507	0.2876278704
508	0.2876075239
509	0.2876075239
510	0.2875564208
511	0.2875564208
512	0.2875380368
513	0.2875380368
514	0.2874677579
515	0.286451703
516	0.286263408
517	0.2858709178
518	0.2858709168
519	0.2857629862
520	0.2852910617
521	0.2852910604
522	0.285291059
523	0.2852910537
524	0.2852257048
525	0.2851939423
526	0.2851939414
527	0.2849364491
528	0.2849364477
529	0.2845269998
530	0.284526994
531	0.2845131049
532	0.2845079817
533	0.2845079747
534	0.2840633226
535	0.2840469202
536	0.283567259
537	0.2834628639
538	0.2829978612
539	0.2829978323
540	0.2824471435
541	0.2820632568
542	0.2820632523
543	0.282063235
544	0.2820632303
545	0.2820632152
546	0.2819703792
547	0.2819703767
548	0.2819703698
549	0.2815066626
550	0.2815066626
551	0.2815027831
552	0.2811597345
553	0.280976146
554	0.2809761406
555	0.280976133
556	0.280968085
557	0.2809502391
558	0.2809479357
559	0.2809479293
560	0.280463111
561	0.2804583903
562	0.2804583897
563	0.2803814128
564	0.2803796761
565	0.2803440356
566	0.2803246415
567	0.2803246414
568	0.280323844
569	0.2803238433
570	0.28029183
571	0.2802718922
572	0.2801073759
573	0.2800942904
574	0.2800830212
575	0.2799917755
576	0.2799917753
577	0.2799757329
578	0.2795452889
579	0.2795452889
580	0.2795452888
581	0.2795233559
582	0.279167694
583	0.2791371586
584	0.2791371572
585	0.279137157
586	0.279137156
587	0.2791368411
588	0.2791168635
589	0.2791168625
590	0.2791109735
591	0.2790714521
592	0.2790714515
593	0.2788040838
594	0.278804081
595	0.2787946515
596	0.2787946515
597	0.278794651
598	0.2787946438
599	0.278794642
600	0.2787946399
601	0.2787587055
602	0.2785894749
603	0.2785894739
604	0.278584184
605	0.2783484368
606	0.2781783387
607	0.2781783387
608	0.2781775123
609	0.2781416498
610	0.2780832673
611	0.2779352631
612	0.2779352631
613	0.2779182036
614	0.2778996622
615	0.2778802607
616	0.2778766388
617	0.2778765654
618	0.2778748742
619	0.2778748742
620	0.2778671669
621	0.2778671669
622	0.2778671669
623	0.2778671669
624	0.277857252
625	0.277857252
626	0.2777203809
627	0.2777203803
628	0.277686291
629	0.2776862906
630	0.2776842806
631	0.2776842802
632	0.2776842799
633	0.2776438494
634	0.277643849
635	0.2776438489
636	0.2776419258
637	0.2776204583
638	0.2776204583
639	0.277383389
640	0.2773833886
641	0.2773833881
642	0.2773833877
643	0.2773833876
644	0.277366702
645	0.2771138208
646	0.2771138197
647	0.2766792214
648	0.2766792213
649	0.2766754209
650	0.2766741282
651	0.276621971
652	0.2766219709
653	0.2766198516
654	0.2766198511
655	0.2766198506
656	0.2760394934
657	0.2760180289
658	0.2760138948
659	0.2756465021
660	0.2756464922
661	0.2756464879
662	0.2756462102
663	0.2754955174
664	0.2754955133
665	0.2754955105
666	0.2754889385
667	0.2754848809
668	0.2754848801
669	0.2751198202
670	0.2751187792
671	0.2751185298
672	0.2751184678
673	0.2751184677
674	0.2750318328
675	0.2749679179
676	0.2749565305
677	0.2747491591
678	0.2747491514
679	0.2747491513
680	0.2747424116
681	0.2746987619
682	0.2746950893
683	0.2746950868
684	0.2745821312
685	0.2745368512
686	0.2745346745
687	0.2745183685
688	0.2741993509
689	0.2741184202
690	0.274118418
691	0.2740049687
692	0.2733500338
693	0.2733329071
694	0.2733329012
695	0.2733328985
696	0.2733328981
697	0.2733328978
698	0.2733328914
699	0.2733239605
700	0.2725573067
701	0.272557304
702	0.2724289247
703	0.2723032829
704	0.2722642792
705	0.2722642731
706	0.2722611649
707	0.2719500496
708	0.2719433702
709	0.2719433701
710	0.27194337
711	0.27194337
712	0.2719376123
713	0.2718235071
714	0.2718069343
